rank,row,col,utility,suitability,basis_match
76,96,74,0.86330366,0.789698,1
77,93,83,0.86190844,0.7875514,1
78,103,68,0.86188805,0.78752005,1
79,103,80,0.8618586,0.7874749,1
80,72,83,0.86083686,0.78590286,1
81,103,66,0.86039674,0.78522587,1
82,70,81,0.85959744,0.78399616,1
83,98,83,0.85901976,0.78310734,1
84,78,76,0.8588593,0.7828605,1
85,85,95,0.8587214,0.7826484,1
86,148,166,0.85739994,0.78061527,1
87,96,86,0.85699296,0.7799892,1
88,78,83,0.8569225,0.7798809,1
89,76,61,0.856578,0.77935076,1
90,85,84,0.8565569,0.77931833,1
91,92,77,0.8558649,0.7782538,1
92,70,82,0.8546269,0.77634907,1
93,76,89,0.8538102,0.7750927,1
94,101,63,0.8530868,0.77397984,1
95,104,68,0.8526182,0.77325886,1
96,94,70,0.8525499,0.7731537,1
97,89,66,0.8522632,0.7727127,1
98,100,93,0.85221446,0.7726376,1
99,99,89,0.8520911,0.77244776,1
100,93,58,0.8519634,0.77225137,1
101,86,82,0.85193825,0.77221274,1
102,107,82,0.85154974,0.77161497,1
103,82,61,0.8512094,0.7710914,1
104,92,76,0.8510871,0.77090335,1
105,95,86,0.8508073,0.77047276,1
106,72,77,0.84987736,0.7690421,1
107,99,82,0.84931684,0.76817983,1
108,93,59,0.8488974,0.7675345,1
109,89,80,0.84875953,0.76732236,1
110,103,79,0.84761137,0.765556,1
111,105,83,0.8475213,0.7654174,1
112,74,86,0.8474411,0.76529396,1
113,92,82,0.84677786,0.76427364,1
114,84,82,0.8467083,0.7641667,1
115,87,64,0.84583503,0.76282316,1
116,84,84,0.84516764,0.76179636,1
117,81,73,0.84515214,0.7617726,1
118,69,79,0.8438269,0.75973374,1
119,74,73,0.84379745,0.7596884,1
120,97,61,0.84377134,0.75964826,1
121,88,79,0.8436023,0.75938815,1
122,93,88,0.8433693,0.75902975,1
123,86,95,0.84304744,0.75853455,1
124,99,84,0.8427496,0.75807637,1
125,70,80,0.8424734,0.7576514,1
126,81,60,0.8423518,0.75746435,1
127,83,63,0.84233874,0.75744426,1
128,74,74,0.84186125,0.7567097,1
129,76,90,0.84123725,0.75574964,1
130,106,88,0.84113795,0.7555969,1
131,107,68,0.84110105,0.75554013,1
132,83,64,0.8408612,0.7551711,1
133,87,65,0.84076667,0.7550256,1
134,82,73,0.8406062,0.7547788,1
135,100,82,0.8401884,0.75413597,1
136,82,74,0.839831,0.7535862,1
137,82,93,0.839449,0.7529985,1
138,191,163,0.83930075,0.7527704,1
139,99,75,0.8389491,0.7522294,1
140,75,86,0.8387159,0.7518707,1
141,102,79,0.8383907,0.7513704,1
142,82,86,0.83751154,0.7500178,1
143,91,88,0.8371351,0.74943864,1
144,199,195,0.83707297,0.7493431,1
145,95,59,0.837057,0.7493185,1
146,147,168,0.83701515,0.7492541,1
147,81,86,0.8367876,0.74890405,1
148,91,83,0.8367144,0.74879146,1
149,101,66,0.83642316,0.7483434,1
150,76,70,0.8363763,0.7482712,1
151,149,195,0.8361689,0.7479521,1
152,101,77,0.8360069,0.7477029,1
153,84,95,0.8360001,0.7476924,1
154,95,72,0.8345758,0.74550116,1
155,88,68,0.8340833,0.74474365,1
156,100,89,0.83338,0.7436615,1
157,99,62,0.833298,0.74353546,1
158,98,75,0.833078,0.74319696,1
159,200,195,0.83298004,0.7430463,1
160,105,82,0.83285725,0.7428574,1
161,69,80,0.8326038,0.7424674,1
162,72,82,0.83225375,0.7419289,1
163,86,84,0.8314773,0.7407343,1
164,77,76,0.8310348,0.7400535,1
165,79,77,0.83095664,0.7399333,1
166,90,68,0.8306558,0.7394705,1
167,85,89,0.8306097,0.7393995,1
168,191,164,0.8305799,0.7393537,1
169,70,79,0.8301798,0.73873824,1
170,88,92,0.830154,0.7386985,1
171,85,94,0.8299751,0.7384233,1
172,88,93,0.82985467,0.738238,1
173,97,64,0.82956815,0.7377972,1
174,93,76,0.82881314,0.7366356,1
175,92,59,0.8281702,0.7356464,1
176,74,80,0.82758045,0.7347391,1
177,156,159,0.8274462,0.7345327,1
178,83,62,0.82731885,0.73433673,1
179,101,76,0.8272387,0.7342134,1
180,77,83,0.82719857,0.73415166,1
181,106,77,0.8271842,0.7341296,1
182,76,71,0.8271781,0.7341202,1
183,75,67,0.82708526,0.7339774,1
184,157,187,0.82671326,0.73340505,1
185,102,68,0.82662445,0.73326844,1
186,191,188,0.8265915,0.7332177,1
187,104,67,0.8264264,0.73296374,1
188,90,70,0.82632226,0.7328035,1
189,71,84,0.8259996,0.7323071,1
190,108,72,0.8257359,0.7319015,1
191,81,74,0.8255123,0.7315574,1
192,80,59,0.8254062,0.7313941,1
193,85,70,0.82488227,0.7305881,1
194,192,187,0.8248408,0.7305243,1
195,97,60,0.82465017,0.7302311,1
196,107,85,0.8245094,0.7300145,1
197,94,72,0.82449406,0.7299909,1
198,81,80,0.82440937,0.72986066,1
199,149,166,0.824208,0.7295509,1
200,91,82,0.82399714,0.72922647,1
201,96,93,0.82380277,0.7289274,1
202,200,194,0.8237243,0.7288067,1
203,81,93,0.82367414,0.7287295,1
204,93,77,0.8235971,0.72861093,1
205,95,87,0.82353115,0.72850955,1
206,99,90,0.8233832,0.7282819,1
207,84,94,0.82324445,0.7280684,1
208,87,63,0.8225411,0.7269864,1
209,76,88,0.82228625,0.7265942,1
210,96,72,0.8222133,0.726482,1
211,84,62,0.8218473,0.72591895,1
212,81,67,0.82173586,0.72574747,1
213,74,85,0.8212364,0.7249791,1
214,102,65,0.82109106,0.7247555,1
215,95,92,0.8209827,0.7245888,1
216,76,69,0.8208301,0.7243541,1
217,74,67,0.8205649,0.7239461,1
218,107,84,0.8203846,0.72366863,1
219,91,77,0.8203429,0.7236045,1
220,80,90,0.8203387,0.7235981,1
221,183,195,0.82005966,0.72316873,1
222,96,85,0.8193065,0.72201,1
223,97,74,0.8193026,0.72200406,1
224,158,187,0.819186,0.72182465,1
225,93,82,0.8186711,0.7210325,1
226,147,167,0.81836385,0.7205598,1
227,100,84,0.81790864,0.71985954,1
228,104,70,0.81783354,0.71974397,1
229,80,70,0.81769115,0.71952486,1
230,87,66,0.81737673,0.71904117,1
231,107,72,0.8172864,0.7189022,1
232,192,188,0.81727755,0.7188886,1
233,96,87,0.8171768,0.7187336,1
234,103,86,0.8169551,0.7183925,1
235,100,78,0.8166801,0.7179694,1
236,192,159,0.81648433,0.7176683,1
237,89,86,0.8161102,0.71709263,1
238,83,65,0.8154448,0.716069,1
239,182,195,0.8153678,0.71595055,1
240,199,194,0.8153391,0.7159063,1
241,157,188,0.81515,0.7156154,1
242,100,62,0.81439275,0.7144504,1
243,86,94,0.81419724,0.71414965,1
244,74,87,0.8140448,0.71391505,1
245,83,94,0.81393105,0.7137401,1
246,149,196,0.813823,0.7135739,1
247,80,91,0.8137479,0.7134583,1
248,97,75,0.8137224,0.713419,1
249,90,67,0.8136444,0.7132991,1
250,95,62,0.8135586,0.71316713,1
251,82,67,0.8132782,0.7127358,1
252,95,85,0.8119036,0.71062094,1
253,107,66,0.81176805,0.7104124,1
254,75,80,0.8114037,0.70985186,1
255,106,76,0.81111944,0.7094146,1
256,192,164,0.81095237,0.7091575,1
257,80,69,0.81081855,0.70895165,1
258,192,160,0.8106329,0.708666,1
259,99,78,0.8104377,0.7083657,1
260,78,64,0.8103428,0.70821977,1
261,91,59,0.810236,0.70805544,1
262,174,187,0.8100091,0.7077064,1
263,190,163,0.8096788,0.70719814,1
264,94,69,0.809484,0.70689845,1
265,145,183,0.808879,0.7059677,1
266,98,89,0.8088129,0.70586604,1
267,183,196,0.80875695,0.70577997,1
268,175,163,0.80829084,0.70506287,1
269,71,75,0.8080672,0.7047188,1
270,78,91,0.8079891,0.7045987,1
271,82,85,0.80790913,0.7044756,1
272,103,81,0.80737233,0.7036498,1
273,72,75,0.807197,0.70338005,1
274,75,68,0.8069166,0.70294863,1
275,90,91,0.8067993,0.70276815,1
276,79,91,0.8065009,0.7023092,1
277,76,60,0.80634785,0.7020737,1
