split_index,detector,train_size,test_size,test_auc,test_average_precision,test_accuracy,test_f1,test_precision,test_recall,tn,fp,fn,tp
85,logistic_regression,28,14,0.836734693877551,0.889848246991104,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,1,1,6
85,random_forest,28,14,0.9387755102040816,0.9571428571428571,0.9285714285714286,0.9230769230769231,1.0,0.8571428571428571,7,0,1,6
86,logistic_regression,28,14,0.7142857142857143,0.7997431140288283,0.7142857142857143,0.6666666666666666,0.8,0.5714285714285714,6,1,3,4
86,random_forest,28,14,0.8265306122448979,0.8596165739022881,0.7857142857142857,0.7272727272727273,1.0,0.5714285714285714,7,0,3,4
87,logistic_regression,28,14,0.7551020408163265,0.7726190476190475,0.7857142857142857,0.8235294117647058,0.7,1.0,4,3,0,7
87,random_forest,28,14,0.8979591836734693,0.9214285714285713,0.8571428571428571,0.8333333333333334,1.0,0.7142857142857143,7,0,2,5
88,logistic_regression,28,14,0.7142857142857143,0.7527734170591314,0.6428571428571429,0.4444444444444444,1.0,0.2857142857142857,7,0,5,2
88,random_forest,28,14,0.9081632653061225,0.9087301587301586,0.7142857142857143,0.6666666666666666,0.8,0.5714285714285714,6,1,3,4
89,logistic_regression,28,14,0.6938775510204082,0.7242019884877027,0.5,0.631578947368421,0.5,0.8571428571428571,1,6,1,6
89,random_forest,28,14,0.9591836734693877,0.9682539682539681,0.8571428571428571,0.875,0.7777777777777778,1.0,5,2,0,7
90,logistic_regression,28,14,0.6938775510204082,0.7083333333333333,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,4,3,1,6
90,random_forest,28,14,0.7653061224489796,0.8361067503924646,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,5
91,logistic_regression,28,14,0.7551020408163265,0.7947278911564624,0.7857142857142857,0.8235294117647058,0.7,1.0,4,3,0,7
91,random_forest,28,14,0.7551020408163265,0.7952380952380953,0.7857142857142857,0.7692307692307693,0.8333333333333334,0.7142857142857143,6,1,2,5
92,logistic_regression,28,14,0.7142857142857142,0.7113945578231291,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,4,3,1,6
92,random_forest,28,14,0.8163265306122449,0.8429499072356215,0.7142857142857143,0.7777777777777778,0.6363636363636364,1.0,3,4,0,7
